index,message,true_label,stages_used,confidences,final_prediction,final_stage,cost,latency_ms
279,sorry i missed your call let s talk when you have the time i m on 07090201529,1,"[1, 2]","{'stage1': 0.11388791854968022, 'stage2': 0.40376872969760524, 'stage2_fallback': True}",0,2,0.0,22.69268035888672
280,damn poor zac doesn t stand a chance,0,"[1, 2]","{'stage1': 0.08825117906904463, 'stage2': 0.20610851086821835, 'stage2_fallback': True}",0,2,0.0,8.014202117919922
281,haha that was the first person i was gonna ask,0,[1],{'stage1': 0.024201690469949355},0,1,0.0,10.136127471923828
282,sorry i ll call later,0,"[1, 2]","{'stage1': 0.03532059026545395, 'stage2': 0.1826768431187258, 'stage2_fallback': True}",0,2,0.0,12.042999267578125
283,i just lov this line hurt me with the truth,0,"[1, 2]","{'stage1': 0.08067948123503045, 'stage2': 0.14279922890534047}",0,2,0.0,9.49406623840332
284,how much did ur hdd casing cost,0,"[1, 2]","{'stage1': 0.0697933363202683, 'stage2': 0.2393758146129471, 'stage2_fallback': True}",0,2,0.0,10.099649429321289
285,k ill drink pa then what doing i need srs model pls send it to my mail id pa,0,[1],{'stage1': 0.021257016655290076},0,1,0.0,5.747556686401367
286,alright i ll head out in a few minutes text me where to meet you,0,"[1, 2]","{'stage1': 0.0547874320564253, 'stage2': 0.25347004555032093, 'stage2_fallback': True}",0,2,0.0,12.874841690063477
287,urgent we are trying to contact u todays draw shows that you have won a 800 prize guaranteed call 09050001295 from land line claim a21 valid 12hrs only,1,[1],{'stage1': 0.8584894921363617},1,1,0.0,7.675886154174805
288,ew are you one of them,0,"[1, 2]","{'stage1': 0.03015883998148177, 'stage2': 0.16824720325841963, 'stage2_fallback': True}",0,2,0.0,10.772466659545898
289,reply to win 100 weekly what professional sport does tiger woods play send stop to 87239 to end service,1,[1],{'stage1': 0.8489780358227448},1,1,0.0,7.352352142333984
290,i know but you need to get hotel now i just got my invitation but i had to apologise cali is to sweet for me to come to some english bloke s weddin,0,[1],{'stage1': 0.02726951690438039},0,1,0.0,8.491992950439453
291,can you do online transaction,0,[1],{'stage1': 0.026109053788499967},0,1,0.0,0.0
292,come to me slave your doing it again going into your shell and unconsciously avoiding me you are making me unhappy,0,[1],{'stage1': 0.02878098512676432},0,1,0.0,16.09039306640625
293,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or 250 cash every wk txt vpod to 81303 ts cs custcare 08712405020,1,[1],{'stage1': 0.8645825524763502},1,1,0.0,5.420207977294922
294,zoe it just hit me 2 im fucking shitin myself il defo try my hardest 2 cum 2morow luv u millions lekdog,0,[1],{'stage1': 0.027551797581098297},0,1,0.0,9.908199310302734
295,free polyphonic ringtone text super to 87131 to get your free poly tone of the week now 16 sn pobox202 nr31 7zs subscription 450pw,1,[1],{'stage1': 0.8945280033859729},1,1,0.0,9.791374206542969
296,okay i booked all already including the one at bugis,0,[1],{'stage1': 0.028470277148764118},0,1,0.0,9.33837890625
297,i m turning off my phone my moms telling everyone i have cancer and my sister won t stop calling it hurts to talk can t put up with it see u when u get home love u,0,"[1, 2]","{'stage1': 0.04864358389595529, 'stage2': 0.14885484419045047}",0,2,0.0,7.352113723754883
298,this is the 2nd attempt to contract u you have won this weeks top prize of either 1000 cash or 200 prize just call 09066361921,1,[1],{'stage1': 0.8561004857565621},1,1,0.0,5.259275436401367
299,congrats nokia 3650 video camera phone is your call 09066382422 calls cost 150ppm ave call 3mins vary from mobiles 16 close 300603 post bcm4284 ldn wc1n3xx,1,[1],{'stage1': 0.7421035192436227},1,1,0.0,0.0
300,just got up have to be out of the room very soon i hadn t put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7 wahay another hour in bed,0,[1],{'stage1': 0.025214299994630332},0,1,0.0,22.348403930664062
301,i m not sure if its still available though,0,[1],{'stage1': 0.01882216562980201},0,1,0.0,4.006147384643555
302,happy new year my no 1 man,0,"[1, 2]","{'stage1': 0.035000243151287656, 'stage2': 0.21289061629464182, 'stage2_fallback': True}",0,2,0.0,14.035701751708984
303,i ll leave around four ok,0,[1],{'stage1': 0.016129593120597748},0,1,0.0,7.431268692016602
304,prof you have passed in all the papers in this sem congrats student enna kalaachutaarama prof gud mrng,0,"[1, 2]","{'stage1': 0.09515492100905089, 'stage2': 0.13769619973849911}",0,2,0.0,3.533601760864258
305,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s,1,[1],{'stage1': 0.8663415260082599},1,1,0.0,12.413740158081055
306,i cant pick the phone right now pls send a message,0,"[1, 2]","{'stage1': 0.06280569088565481, 'stage2': 0.2689547852186988, 'stage2_fallback': True}",0,2,0.0,0.0
307,hey do u fancy meetin me at 4 at cha hav a lil beverage on me if not txt or ring me and we can meet up l8r quite tired got in at 3 v pist love pete x x x,0,"[1, 2]","{'stage1': 0.032754861982532094, 'stage2': 0.35701927759209406, 'stage2_fallback': True}",0,2,0.0,19.426584243774414
308,good morning my dear have a great amp successful day,0,[1],{'stage1': 0.020811138028925584},0,1,0.0,11.872291564941406
309,ok ur typical reply,0,[1],{'stage1': 0.32581080524410616},1,1,0.0,0.0
310,yup i havent been there before you want to go for the yoga i can call up to book,0,"[1, 2]","{'stage1': 0.08423748049697787, 'stage2': 0.10355121276812901}",0,2,0.0,15.703916549682617
311,my friend she s studying at warwick we ve planned to go shopping and to concert tmw but it may be canceled havn t seen for ages yeah we should get together sometime,0,"[1, 2]","{'stage1': 0.029506917038940723, 'stage2': 0.17904957040994918, 'stage2_fallback': True}",0,2,0.0,11.808156967163086
312,asking do u knw them or nt may be ur frnds or classmates,0,"[1, 2]","{'stage1': 0.08990843484438292, 'stage2': 0.1343010507080083}",0,2,0.0,4.007816314697266
313,oh well c u later,0,[1],{'stage1': 0.015154048175411208},0,1,0.0,0.0
314,mystery solved just opened my email and he s sent me another batch isn t he a sweetie,0,[1],{'stage1': 0.014824413573225715},0,1,0.0,16.492843627929688
315,wanna get laid 2nite want real dogging locations sent direct to ur mobile join the uk s largest dogging network txt park to 69696 now nyt ec2a 3lp 1 50 msg,1,[1],{'stage1': 0.8008287275315311},1,1,0.0,9.913444519042969
316,i m coming home 4 dinner,0,[1],{'stage1': 0.028051827184272897},0,1,0.0,3.5581588745117188
317,when did dad get back,0,"[1, 2]","{'stage1': 0.034640018721982704, 'stage2': 0.20112401768002375, 'stage2_fallback': True}",0,2,0.0,14.305591583251953
318,piss is talking is someone that realise u that point this at is it now read it backwards,0,"[1, 2]","{'stage1': 0.03974088909260773, 'stage2': 0.16847710963869, 'stage2_fallback': True}",0,2,0.0,9.740114212036133
319,ok i msg u b4 i leave my house,0,"[1, 2]","{'stage1': 0.04309989411014638, 'stage2': 0.18797737775976683, 'stage2_fallback': True}",0,2,0.0,7.51495361328125
320,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,0,"[1, 2]","{'stage1': 0.234888962249259, 'stage2': 0.268939458690125, 'stage2_fallback': True}",0,2,0.0,12.469053268432617
321,i love you you set my soul on fire it is not just a spark but it is a flame a big rawring flame xoxo,0,[1],{'stage1': 0.023234418110832124},0,1,0.0,0.0
322,hcl chennai requires freshers for voice process excellent english needed salary upto lt gt call ms suman lt gt for telephonic interview via indyarocks com,0,"[1, 2]","{'stage1': 0.07590596418059256, 'stage2': 0.3276408718229615, 'stage2_fallback': True}",0,2,0.0,18.31340789794922
323,and whenever you and i see we can still hook up too,0,[1],{'stage1': 0.02436354110973025},0,1,0.0,8.576154708862305
324,yes see ya not on the dot,0,"[1, 2]","{'stage1': 0.041870717985622995, 'stage2': 0.1883694921809862, 'stage2_fallback': True}",0,2,0.0,9.536266326904297
325,shall i come to get pickle,0,"[1, 2]","{'stage1': 0.0454444132634183, 'stage2': 0.1475071931859651}",0,2,0.0,10.221481323242188
326,so when do you wanna gym harri,0,[1],{'stage1': 0.026799849767878723},0,1,0.0,7.622718811035156
327,princess is your kitty shaved or natural,0,"[1, 2]","{'stage1': 0.22277590571152425, 'stage2': 0.18941309879480997, 'stage2_fallback': True}",0,2,0.0,8.140087127685547
328,ok,0,[1],{'stage1': 0.014554591148566515},0,1,0.0,7.56072998046875
329,no da he is stupid da always sending like this don believe any of those message pandy is a mental,0,"[1, 2]","{'stage1': 0.03451126781279798, 'stage2': 0.23647481895598912, 'stage2_fallback': True}",0,2,0.0,13.553142547607422
330,as per your request maangalyam alaipayuthe has been set as your callertune for all callers press 9 to copy your friends callertune,0,"[1, 2]","{'stage1': 0.234888962249259, 'stage2': 0.30772750677690275, 'stage2_fallback': True}",0,2,0.0,2.004861831665039
331,tunde how are you doing this is just wishing you a great day abiola,0,"[1, 2]","{'stage1': 0.03913793795660305, 'stage2': 0.12669104164924325}",0,2,0.0,16.217708587646484
332,this is ur face test 1 2 3 4 5 6 7 8 9 lt gt select any number i will tell ur face astrology am waiting quick reply,0,"[1, 2]","{'stage1': 0.08612808826019731, 'stage2': 0.341120073642023, 'stage2_fallback': True}",0,2,0.0,11.131763458251953
333,r u in this continent,0,"[1, 2]","{'stage1': 0.05951958706183661, 'stage2': 0.19285671950207975, 'stage2_fallback': True}",0,2,0.0,8.156299591064453
334,have you emigrated or something ok maybe 5 30 was a bit hopeful,0,"[1, 2]","{'stage1': 0.035027217831781546, 'stage2': 0.2352329379303565, 'stage2_fallback': True}",0,2,0.0,13.2598876953125
335,my no in luton 0125698789 ring me if ur around h,0,[1],{'stage1': 0.02560485876684015},0,1,0.0,6.56890869140625
336,good day to you too pray for me remove the teeth as its painful maintaining other stuff,0,"[1, 2]","{'stage1': 0.0409628639223505, 'stage2': 0.16962612688089457, 'stage2_fallback': True}",0,2,0.0,9.256839752197266
337,then just eat a shit and wait for ur monkey face bitch u asshole,0,"[1, 2]","{'stage1': 0.07584413224274068, 'stage2': 0.20920695100083536, 'stage2_fallback': True}",0,2,0.0,12.068986892700195
338,ok how you dear did you call chechi,0,"[1, 2]","{'stage1': 0.05456594577191488, 'stage2': 0.14314474273113653}",0,2,0.0,10.29658317565918
339,and he s apparently bffs with carly quick now,0,"[1, 2]","{'stage1': 0.09229525668626613, 'stage2': 0.28192713013309717, 'stage2_fallback': True}",0,2,0.0,9.011030197143555
340,sounds like a plan cardiff is still here and still cold i m sitting on the radiator,0,"[1, 2]","{'stage1': 0.03986305554529822, 'stage2': 0.1810612401887427, 'stage2_fallback': True}",0,2,0.0,11.24715805053711
341,cant think of anyone with spare room off top of my head,0,"[1, 2]","{'stage1': 0.04752001071963574, 'stage2': 0.17829795406252744, 'stage2_fallback': True}",0,2,0.0,5.748748779296875
342,do you want a new video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,1,[1],{'stage1': 0.7970081217413013},1,1,0.0,11.263370513916016
343,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh,0,[1],{'stage1': 0.019184844185986677},0,1,0.0,9.710550308227539
344,ahhhh just woken up had a bad dream about u tho so i dont like u right now i didnt know anything about comedy night but i guess im up for it,0,[1],{'stage1': 0.025487010226034345},0,1,0.0,7.244586944580078
345,can you say what happen,0,[1],{'stage1': 0.01907134839851437},0,1,0.0,8.546113967895508
346,why you dint come with us,0,"[1, 2]","{'stage1': 0.05471300671218309, 'stage2': 0.16637567326564787, 'stage2_fallback': True}",0,2,0.0,11.201620101928711
347,when is school starting where will you stay what s the weather like and the food do you have a social support system like friends in the school all these things are important,0,"[1, 2]","{'stage1': 0.045751018417946994, 'stage2': 0.1851956965213904, 'stage2_fallback': True}",0,2,0.0,4.557371139526367
348,awesome how do i deal with the gate charles told me last night but uh yeah,0,[1],{'stage1': 0.019283290311236097},0,1,0.0,10.170936584472656
349,wat happened to the cruise thing,0,"[1, 2]","{'stage1': 0.06383848113536374, 'stage2': 0.19642907605691526, 'stage2_fallback': True}",0,2,0.0,5.540132522583008
350,wow i love you sooo much you know i can barely stand it i wonder how your day goes and if you are well my love i think of you and miss you,0,[1],{'stage1': 0.020606912897753894},0,1,0.0,15.738248825073242
351,urgent your mobile no won a 2 000 bonus caller prize on 02 06 03 this is the 2nd attempt to reach you call 09066362220 asap box97n7qp 150ppm,1,[1],{'stage1': 0.7748053956673654},1,1,0.0,0.0
352,let me know how to contact you i ve you settled in a room lets know you are ok,0,"[1, 2]","{'stage1': 0.04978805360930677, 'stage2': 0.14218120849330712}",0,2,0.0,15.649557113647461
353,yep at derek s house now see you sunday lt 3,0,"[1, 2]","{'stage1': 0.03338774531722976, 'stage2': 0.13411861633414615}",0,2,0.0,11.276721954345703
354,mmmmm i loved waking to your words this morning i miss you too my love i hope your day goes well and you are happy i wait for us to be together again,0,"[1, 2]","{'stage1': 0.06079852106911448, 'stage2': 0.16328146293420043, 'stage2_fallback': True}",0,2,0.0,9.521484375
355,yeah probably i still gotta check out with leo,0,"[1, 2]","{'stage1': 0.05583633215740842, 'stage2': 0.15967514259132543, 'stage2_fallback': True}",0,2,0.0,10.210037231445312
356,wrong phone this phone i answer this one but assume the other is people i don t well,0,"[1, 2]","{'stage1': 0.04467628833661187, 'stage2': 0.2845689771018126, 'stage2_fallback': True}",0,2,0.0,9.582757949829102
357,thanks honey have a great day,0,"[1, 2]","{'stage1': 0.05332761753428609, 'stage2': 0.1991090028854404, 'stage2_fallback': True}",0,2,0.0,11.568069458007812
358,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say i m always correct,0,"[1, 2]","{'stage1': 0.0592809166498034, 'stage2': 0.1711232166415574, 'stage2_fallback': True}",0,2,0.0,10.599374771118164
359,pls accept me for one day or am begging you change the number,0,"[1, 2]","{'stage1': 0.044498522106051555, 'stage2': 0.42048180486693393, 'stage2_fallback': True}",0,2,0.0,9.521245956420898
360,boo what time u get out u were supposed to take me shopping today,0,"[1, 2]","{'stage1': 0.044089445019010444, 'stage2': 0.13437702393743872}",0,2,0.0,10.14256477355957
361,infact happy new year how are you where are you when are we seeing,0,[1],{'stage1': 0.023548044481693595},0,1,0.0,8.009672164916992
362,oh gei that happend to me in tron maybe ill dl it in 3d when its out,0,[1],{'stage1': 0.013168916182064382},0,1,0.0,7.7533721923828125
363,you have 1 new voicemail please call 08719181513,1,[1],{'stage1': 0.7275681727837329},1,1,0.0,9.515047073364258
364,you are a 1000 winner or guaranteed caller prize this is our final attempt to contact you to claim call 09071517866 now 150ppmpobox10183bhamb64xe,1,[1],{'stage1': 0.8952793422270054},1,1,0.0,7.803201675415039
365,hey pple 700 or 900 for 5 nights excellent location wif breakfast hamper,0,"[1, 2]","{'stage1': 0.10463527894942846, 'stage2': 0.4168302115908017, 'stage2_fallback': True}",0,2,0.0,10.99848747253418
366,for sale arsenal dartboard good condition but no doubles or trebles,1,"[1, 2]","{'stage1': 0.08251917468302881, 'stage2': 0.3297158184949188, 'stage2_fallback': True}",0,2,0.0,7.492542266845703
367,i felt so not any conveying reason ese he what about me,0,[1],{'stage1': 0.014293236548809417},0,1,0.0,10.904788970947266
368,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,1,[1],{'stage1': 0.8255886912643811},1,1,0.0,7.520198822021484
369,first has she gained more than lt gt kg since she took in second has she done the blood sugar tests if she has and its ok and her blood pressure is within normal limits then no worries,0,[1],{'stage1': 0.019069248184282517},0,1,0.0,4.263639450073242
370,great escape i fancy the bridge but needs her lager see you tomo,0,"[1, 2]","{'stage1': 0.04119736087994351, 'stage2': 0.12943177737414613}",0,2,0.0,15.66934585571289
371,gumby s has a special where a lt gt cheese pizza is 2 so i know what we re doin tonight,0,[1],{'stage1': 0.01651382367212223},0,1,0.0,9.268760681152344
372,from 5 to 2 only my work timing,0,"[1, 2]","{'stage1': 0.17512226733608133, 'stage2': 0.2729764979414397, 'stage2_fallback': True}",0,2,0.0,11.690139770507812
373,no i got rumour that you going to buy apartment in chennai,0,[1],{'stage1': 0.023111695417943976},0,1,0.0,7.489442825317383
374,my planning usually stops at find hella weed,0,"[1, 2]","{'stage1': 0.03712849132634668, 'stage2': 0.17968882064662553, 'stage2_fallback': True}",0,2,0.0,8.996963500976562
375,oh ok,0,[1],{'stage1': 0.014314268458707289},0,1,0.0,8.013486862182617
376,do you know why god created gap between your fingers so that one who is made for you comes amp fills those gaps by holding your hand with love,0,"[1, 2]","{'stage1': 0.08430361973641197, 'stage2': 0.15753923085257018, 'stage2_fallback': True}",0,2,0.0,5.751848220825195
377,i know girls always safe and selfish know i got it pa thank you good night,0,[1],{'stage1': 0.022026600448305577},0,1,0.0,11.804819107055664
378,sorry i ll call later,0,"[1, 2]","{'stage1': 0.03532059026545395, 'stage2': 0.18267692122421322, 'stage2_fallback': True}",0,2,0.0,5.388975143432617
379,still chance there if you search hard you will get it let have a try,0,"[1, 2]","{'stage1': 0.042955353938418026, 'stage2': 0.2689335462904755, 'stage2_fallback': True}",0,2,0.0,10.531187057495117
380,try to do something dear you read something for exams,0,"[1, 2]","{'stage1': 0.05921574725770996, 'stage2': 0.2166560105316447, 'stage2_fallback': True}",0,2,0.0,15.909433364868164
381,remember on that day,0,"[1, 2]","{'stage1': 0.04398004932593047, 'stage2': 0.1814466539046681, 'stage2_fallback': True}",0,2,0.0,7.172584533691406
382,howz pain it will come down today do as i said ystrday ice and medicine,0,[1],{'stage1': 0.023052844678922157},0,1,0.0,8.748531341552734
383,sir waiting for your mail,0,"[1, 2]","{'stage1': 0.1890376253926112, 'stage2': 0.18478600825008448, 'stage2_fallback': True}",0,2,0.0,0.0
384,ha ha had popped down to the loo when you hello ed me hello,0,"[1, 2]","{'stage1': 0.04791871539606102, 'stage2': 0.13969466334397923}",0,2,0.0,21.643638610839844
385,well i m gonna finish my bath now have a good fine night,0,[1],{'stage1': 0.025034225433876685},0,1,0.0,2.0046234130859375
386,prabha i m soryda realy frm heart i m sory,0,"[1, 2]","{'stage1': 0.04902828987418596, 'stage2': 0.12499275602732063}",0,2,0.0,7.974147796630859
387,new car and house for my parents i have only new job in hand,0,"[1, 2]","{'stage1': 0.0811147199414383, 'stage2': 0.17809901280845453, 'stage2_fallback': True}",0,2,0.0,18.65220069885254
388,sac will score big hundred he is set batsman,0,"[1, 2]","{'stage1': 0.032039309359960425, 'stage2': 0.22733954174546128, 'stage2_fallback': True}",0,2,0.0,7.236003875732422
389,congrats treat pending i am not on mail for 2 days will mail once thru respect mother at home check mails,0,"[1, 2]","{'stage1': 0.03262504374534084, 'stage2': 0.2760642596692532, 'stage2_fallback': True}",0,2,0.0,11.90328598022461
390,it only does simple arithmetic not percentages,0,"[1, 2]","{'stage1': 0.0426244897657009, 'stage2': 0.18258316261190377, 'stage2_fallback': True}",0,2,0.0,9.495019912719727
391,is fujitsu s series lifebook good,0,"[1, 2]","{'stage1': 0.040290453228780033, 'stage2': 0.19010420700764175, 'stage2_fallback': True}",0,2,0.0,10.365724563598633
392,latest nokia mobile or ipod mp3 player 400 proze guaranteed reply with win to 83355 now norcorp ltd 1 50 mtmsgrcvd18,1,[1],{'stage1': 0.9105334112972789},1,1,0.0,5.710601806640625
393,its just the effect of irritation just ignore it,0,"[1, 2]","{'stage1': 0.03280765542344507, 'stage2': 0.16053749034726303, 'stage2_fallback': True}",0,2,0.0,12.591123580932617
394,raji pls do me a favour pls convey my birthday wishes to nimya pls today is her birthday,0,"[1, 2]","{'stage1': 0.03175956929620545, 'stage2': 0.17986839967822502, 'stage2_fallback': True}",0,2,0.0,6.978273391723633
395,do you know when the result,0,"[1, 2]","{'stage1': 0.030227687750083762, 'stage2': 0.23228215464952492, 'stage2_fallback': True}",0,2,0.0,12.312650680541992
396,tiwary to rcb battle between bang and kochi,0,"[1, 2]","{'stage1': 0.15744146333719675, 'stage2': 0.2386779707261913, 'stage2_fallback': True}",0,2,0.0,10.314702987670898
397,2 laptop i noe infra but too slow lar i wan fast one,0,[1],{'stage1': 0.02534674655096551},0,1,0.0,5.7525634765625
398,yup from what i remb i think should be can book,0,"[1, 2]","{'stage1': 0.04964140468171814, 'stage2': 0.15318822446802585, 'stage2_fallback': True}",0,2,0.0,12.181520462036133
399,and that is the problem you walk around in julianaland oblivious to what is going on around you i say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do it s not that you don t know why i m upset it s that you don t listen when i tell you what is going to upset me then you want to be surprised when i m mad,0,[1],{'stage1': 0.012366872874348426},0,1,0.0,8.353710174560547
400,id onluy matters when getting on from offcampus,0,"[1, 2]","{'stage1': 0.12427824642678581, 'stage2': 0.23777031230399517, 'stage2_fallback': True}",0,2,0.0,9.685039520263672
401,you are right meanwhile how s project twins comin up,0,[1],{'stage1': 0.02585291266562933},0,1,0.0,5.254507064819336
402,yar he quite clever but aft many guesses lor he got ask me 2 bring but i thk darren not so willing 2 go aiya they thk leona still not attach wat,0,[1],{'stage1': 0.00738887228954163},0,1,0.0,0.0
403,or ill be a little closer like at the bus stop on the same street,0,"[1, 2]","{'stage1': 0.0875248867427168, 'stage2': 0.1712332425916043, 'stage2_fallback': True}",0,2,0.0,16.359329223632812
404,this weekend is fine an excuse not to do too much decorating,0,"[1, 2]","{'stage1': 0.055492282061715165, 'stage2': 0.1397718222244047}",0,2,0.0,11.93857192993164
405,i m stuck in da middle of da row on da right hand side of da lt,0,[1],{'stage1': 0.02503561117784053},0,1,0.0,10.621786117553711
406,yeah i don t see why not,0,"[1, 2]","{'stage1': 0.03181612749119023, 'stage2': 0.20306461151788222, 'stage2_fallback': True}",0,2,0.0,5.49006462097168
407,i m not sure i was just checking out what was happening around the area,0,"[1, 2]","{'stage1': 0.03449222267464102, 'stage2': 0.14086153859260472}",0,2,0.0,12.569189071655273
408,ffffffffff alright no way i can meet up with you sooner,0,"[1, 2]","{'stage1': 0.02988657019266791, 'stage2': 0.2252489520633799, 'stage2_fallback': True}",0,2,0.0,10.492324829101562
409,wah lucky man then can save money hee,0,"[1, 2]","{'stage1': 0.04827554849687397, 'stage2': 0.39208632837164786, 'stage2_fallback': True}",0,2,0.0,9.73653793334961
410,hi you just spoke to maneesha v we d like to know if you were satisfied with the experience reply toll free with yes or no,0,"[1, 2]","{'stage1': 0.1893012869791386, 'stage2': 0.2690288970425055, 'stage2_fallback': True}",0,2,0.0,9.621858596801758
411,123 congratulations in this week s competition draw u have won the 1450 prize to claim just call 09050002311 b4280703 t cs stop sms 08718727868 over 18 only 150ppm,1,[1],{'stage1': 0.9197225626112762},1,1,0.0,5.752325057983398
412,k still are you loving me,0,[1],{'stage1': 0.015605480428991158},0,1,0.0,12.030601501464844
413,i don t know jack shit about anything or i d say ask something helpful but if you want you can pretend that i did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,0,"[1, 2]","{'stage1': 0.03521992118351119, 'stage2': 0.14554148528706165}",0,2,0.0,8.989572525024414
414,it s not that you make me cry it s just that when all our stuff happens on top of everything else it pushes me over the edge you don t underdtand how often i cry over my sorry sorry life,0,[1],{'stage1': 0.01726313540879469},0,1,0.0,7.086038589477539
415,ultimately tor motive tui achieve korli,0,"[1, 2]","{'stage1': 0.06329603294497951, 'stage2': 0.18742782240873143, 'stage2_fallback': True}",0,2,0.0,7.301568984985352
416,can u get 2 phone now i wanna chat 2 set up meet call me now on 09096102316 u can cum here 2moro luv jane xx calls 1 minmoremobsemspobox45po139wa,1,"[1, 2]","{'stage1': 0.18926881138557644, 'stage2': 0.5715573424485864, 'stage2_fallback': True}",1,2,0.0,12.161731719970703
417,customer service announcement we recently tried to make a delivery to you but were unable to do so please call 07090298926 to re schedule ref 9307622,1,[1],{'stage1': 0.422009174019052},1,1,0.0,2.8226375579833984
418,short but cute be a good person,0,"[1, 2]","{'stage1': 0.030006942146197015, 'stage2': 0.20192975269611385, 'stage2_fallback': True}",0,2,0.0,16.81375503540039
419,hey babe far 2 spun out 2 spk at da mo dead 2 da wrld been sleeping on da sofa all day,0,"[1, 2]","{'stage1': 0.038422749901010196, 'stage2': 0.15689798924135193, 'stage2_fallback': True}",0,2,0.0,10.49041748046875
420,from here after the performance award is calculated every two month not for current one month period,0,"[1, 2]","{'stage1': 0.14909226839750359, 'stage2': 0.3670089756589337, 'stage2_fallback': True}",0,2,0.0,7.069587707519531
421,ok then i will come to ur home after half an hour,0,"[1, 2]","{'stage1': 0.034758594165102706, 'stage2': 0.12344157809832935}",0,2,0.0,10.518550872802734
422,will be office around 4 pm now i am going hospital,0,"[1, 2]","{'stage1': 0.06483312719864101, 'stage2': 0.1502152814663316, 'stage2_fallback': True}",0,2,0.0,5.554437637329102
423,what year and how many miles,0,[1],{'stage1': 0.024575253286633365},0,1,0.0,10.442733764648438
424,haha awesome omw back now then,0,"[1, 2]","{'stage1': 0.05894464020698306, 'stage2': 0.14143670526787677}",0,2,0.0,12.534141540527344
425,pls help me tell ashley that i cant find her number oh,0,"[1, 2]","{'stage1': 0.03443503449504636, 'stage2': 0.28845987938284684, 'stage2_fallback': True}",0,2,0.0,9.015798568725586
426,where are you what do you do how can you stand to be away from me doesn t your heart ache without me don t you wonder of me don t you crave me,0,[1],{'stage1': 0.024297507727423517},0,1,0.0,9.657144546508789
427,should i send you naughty pix,0,"[1, 2]","{'stage1': 0.08106952055365248, 'stage2': 0.19598769186710369, 'stage2_fallback': True}",0,2,0.0,5.524158477783203
428,im on gloucesterroad what are uup to later,0,"[1, 2]","{'stage1': 0.054378059854748764, 'stage2': 0.17403408843773924, 'stage2_fallback': True}",0,2,0.0,13.852119445800781
429,i hope your pee burns tonite,0,"[1, 2]","{'stage1': 0.08352762966651898, 'stage2': 0.18030728850643124, 'stage2_fallback': True}",0,2,0.0,2.003192901611328
430,crucify is c not s you should have told me earlier,0,"[1, 2]","{'stage1': 0.03060434802956495, 'stage2': 0.18402549407772728, 'stage2_fallback': True}",0,2,0.0,10.510444641113281
431,if you don t your prize will go to another customer t c at 18 150p min polo ltd suite 373 london w1j 6hl please call back if busy,1,[1],{'stage1': 0.6181141549819057},1,1,0.0,16.05820655822754
432,just sing hu i think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through even things like choosing a phone plan require guidance when in doubt ask especially girls,0,"[1, 2]","{'stage1': 0.05067889949886938, 'stage2': 0.29823112536281643, 'stage2_fallback': True}",0,2,0.0,8.610725402832031
433,i m at work please call,0,[1],{'stage1': 0.270949127124796},1,1,0.0,7.503747940063477
434,kind of took it to garage centre part of exhaust needs replacing part ordered n taking it to be fixed tomo morning,0,"[1, 2]","{'stage1': 0.0594626319208392, 'stage2': 0.21984406828751676, 'stage2_fallback': True}",0,2,0.0,5.5599212646484375
435,oh oh den muz change plan liao go back have to yan jiu again,0,"[1, 2]","{'stage1': 0.03619478138681675, 'stage2': 0.13351734854551126}",0,2,0.0,14.734745025634766
436,thanks for your message i really appreciate your sacrifice i m not sure of the process of direct pay but will find out on my way back from the test tomorrow i m in class now do have a wonderful day,0,"[1, 2]","{'stage1': 0.14561607488872902, 'stage2': 0.3922578609435047, 'stage2_fallback': True}",0,2,0.0,2.004861831665039
437,under the sea there lays a rock in the rock there is an envelope in the envelope there is a paper on the paper there are 3 words,0,"[1, 2]","{'stage1': 0.06323826457270869, 'stage2': 0.2689341381926513, 'stage2_fallback': True}",0,2,0.0,5.51295280456543
438,i m home my love if your still awake loving kiss,0,[1],{'stage1': 0.02386239752475654},0,1,0.0,10.43844223022461
439,yeah like if it goes like it did with my friends imma flip my shit in like half an hour,0,[1],{'stage1': 0.016648935547399983},0,1,0.0,8.97359848022461
440,i haven t forgotten you i might have a couple bucks to send you tomorrow k i love ya too,0,"[1, 2]","{'stage1': 0.05283753726744777, 'stage2': 0.1538511340006144, 'stage2_fallback': True}",0,2,0.0,7.117509841918945
441,7 at esplanade do mind giving me a lift cos i got no car today,0,[1],{'stage1': 0.011487445731008749},0,1,0.0,2.0046234130859375
